"A NZ Bank Group",178
"ABN AMRO Investment Funds S.A.",181
"Actis GP LLP",182
"Alcoa Inc.",185
"Allainz Global Investors",186
"Altamar Capital Privado, S.G.E.C.R.",188
"AMBEV International FInance",189
"Compañía Minera Ares",280
AMERICAMOVIL,192
"Amundi Asset Management",193
"APAX VIII GP L.P. INC.",194
"Apple Inc.",196
"Arch Coal Inc.",197
"Arias Resource Capital GP II Ltd.",200
"Arias Resource Capital GP Ltd.",201
"ASF VII GP Limited",202
Aval,205
Avianca,207
"Avianca Holding",208
"Avianca Holdings S.A.",209
"Avianca Taca Holding S.A.",210
"AXA Funds Management",212
"Axa Rosenberg Investment Management",213
"B. Santander BR",214
"Banco Banex",217
"Banco Bilbao Viscaya Argentaria",218
"Banco Bradesco SA",220
"Banco BTG Pactual S.A.",221
"Banco Central de Chile",222
"Banco Chile",224
"Banco de Bogotá S.A.A.",226
"Banco de la Nación",227
"Banco do Brasil",228
"Banco Latino",230
"Banco Santander de Chile S.A",233
"Banco Santander México S.A.",234
"Banco Serbanco S.A.",235
"Banco Standard Chartered",236
"Bancolombia S.A.",238
Bancomer,239
BANDOBRA,240
"Barclays Bank PLC",244
"Barclays Global Investors International",245
"Baring International Fund Managers",246
"BBVA Bancomer S.A.",247
"Berkshire Hathaway",249
"BlackRock Fund Advisors",251
"BlackRock Global Funds",252
"BlackRock Institutional Trust Company PE",254
"BNP PARIBAS INVESTMENT PARTNERS LUXEMBOURG",255
"BNP Paribas S.A.",256
"Boeing Company",258
"Brasil Foods",259
"Bridgepoint Advisers Limited",261
"BRINSON ADVISORS",262
"Brown Brothers Harriman & Co.",264
"BSantander Mexi",265
Calidda,267
Camposol,268
"Carlyle Peru GP, L.P.",271
"Celfin Capital S.A. SAFI",273
Cemex,274
"Cemex S.A.B. de C.V.",275
"Chesapeake Energy Corporation, Inc.",277
"Chicago Bridge & Iron Company",278
"Chipotle Mexican Grill Inc.",279
"Alicorp S.A.",3
"Leasing Santander Central Hispano S.A.",88
"Leasing Total S.A.",89
"Los Portales S.A.",90
"Luz del Sur S.A.A.",91
"Macrocapitales SAFI S.A",92
"Maestro Perú S.A.",93
Mibanco,94
"Minera Yanacocha",96
"Minsur S.A.",97
"Multifondos SAFI S.A.",98
"Norvial S.A.",99
"Palmas del Espino",100
"Peru LNG S.R.L.",101
